"last_name, first_name",average_rank
"Meidroth, Chase",4.454545454545454
"Tauchman, Mike",4.909090909090909
"Quero, Edgar",5.909090909090909
"Vaughn, Andrew",6.545454545454546
"Elko, Tim",7.181818181818182
"Benintendi, Andrew",7.2727272727272725
"Teel, Kyle",9.272727272727273
"Colás, Oscar",9.636363636363637
"Slater, Austin",9.636363636363637
"Sosa, Lenyn",9.818181818181818
"Rojas, Josh",10.0
"Robert Jr., Luis",10.0
"Montgomery, Colson",10.181818181818182
"Thaiss, Matt",11.727272727272727
"Ramos, Bryan",13.0
"Jankowski, Travis",13.272727272727273
"Drury, Brandon",14.272727272727273
"Fletcher, Dominic",14.545454545454545
"Vargas, Miguel",15.0
"Baldwin, Brooks",16.272727272727273
"Lee, Korey",17.727272727272727
"Amaya, Jacob",19.454545454545453
