"last_name, first_name",player_id,pa,obp,woba,year,ba,mlb,ops,xwoba,xba,xslg,k_percent,bb_percent
"Amaya, Jacob",676070,72.0,0.222,0.19,2024.0,0.176,1.0,0.413,0.202,0.179,0.222,38.9,5.6
"Baldwin, Brooks",681460,121.0,0.25,0.249,2024.0,0.211,1.0,0.566,0.262,0.216,0.343,25.6,5.0
"Benintendi, Andrew",643217,551.6999999999999,0.3001,0.29829999999999995,,0.2389,1.0,0.6840999999999999,0.3051,0.2511,0.3848,17.169999999999998,8.05
"Colás, Oscar",693049,459.0,0.325,0.316,2024.0,0.244,0.0,0.724,0.291,0.225,0.343,23.3,10.2
"Drury, Brandon",592273,408.9,0.2612,0.2536,,0.19690000000000002,1.0,0.5699,0.2767,0.217,0.3329,23.549999999999997,6.6899999999999995
"Elko, Tim",671284,219.0,0.361,0.362,2024.0,0.289,0.0,0.833,0.335,0.254,0.44,29.2,9.6
"Fletcher, Dominic",666150,199.29999999999998,0.2814,0.2609,,0.2345,1.0,0.5929,0.24969999999999998,0.2208,0.29579999999999995,23.35,5.289999999999999
"Jankowski, Travis",608671,230.99999999999997,0.2933,0.2574,,0.21889999999999998,1.0,0.5622999999999999,0.2593,0.22109999999999996,0.2694,19.29,7.719999999999999
"Lee, Korey",686676,296.79999999999995,0.21369999999999997,0.22010000000000002,,0.1701,1.0,0.49799999999999994,0.2506,0.20509999999999998,0.3215,30.28,5.14
"Meidroth, Chase",805367,558.0,0.437,0.378,2024.0,0.293,0.0,0.837,0.345,0.252,0.337,12.7,18.8
"Montgomery, Colson",695657,572.0,0.327,0.316,2024.0,0.214,0.0,0.708,0.31,0.217,0.354,28.7,11.9
"Quero, Edgar",700337,110.0,0.382,0.368,2024.0,0.295,0.0,0.845,0.321,0.262,0.357,19.1,11.8
"Ramos, Bryan",682868,108.0,0.252,0.257,2024.0,0.202,1.0,0.585,0.282,0.231,0.357,20.4,6.5
"Robert Jr., Luis",673357,476.0,0.2891,0.30689999999999995,,0.236,1.0,0.717,0.298,0.2247,0.4093,31.910000000000004,6.119999999999999
"Rojas, Josh",668942,438.2,0.30369999999999997,0.28539999999999993,,0.23099999999999998,1.0,0.6403,0.2885,0.2251,0.34429999999999994,22.82,9.1
"Slater, Austin",596103,210.49999999999997,0.32909999999999995,0.2901,,0.2273,1.0,0.6353,0.3135,0.2389,0.35619999999999996,28.21,11.52
"Sosa, Lenyn",672820,310.2,0.2653,0.2683,,0.23809999999999998,1.0,0.621,0.3082,0.2696,0.4171999999999999,21.56,3.1799999999999997
"Tauchman, Mike",643565,365.29999999999995,0.3585,0.3265,,0.24919999999999998,1.0,0.7278,0.33449999999999996,0.2495,0.38599999999999995,20.419999999999998,13.579999999999998
"Teel, Kyle",691019,123.0,0.374,0.327,2024.0,0.255,0.0,0.717,0.314,0.219,0.343,23.6,16.3
"Thaiss, Matt",642136,222.29999999999998,0.3218,0.28869999999999996,,0.20699999999999996,1.0,0.6331,0.30299999999999994,0.2054,0.3485,29.939999999999998,14.079999999999998
"Vargas, Miguel",678246,257.09999999999997,0.2658,0.2516,,0.16349999999999998,1.0,0.5558,0.2732,0.1855,0.3075,22.900000000000002,11.1
"Vaughn, Andrew",683734,617.8,0.3021,0.3091,,0.2496,1.0,0.7121999999999999,0.319,0.24639999999999998,0.4361,21.21,6.039999999999999
