"last_name, first_name",pa_rank,obp_rank,woba_rank,ba_rank,mlb_rank,ops_rank,xwoba_rank,xba_rank,xslg_rank,k_percent_rank,bb_percent_rank,average_rank
"Amaya, Jacob",22.0,21.0,22.0,20.0,1.0,22.0,22.0,22.0,22.0,22.0,18.0,19.454545454545453
"Baldwin, Brooks",19.0,20.0,20.0,16.0,1.0,18.0,18.0,18.0,13.0,15.0,21.0,16.272727272727273
"Benintendi, Andrew",4.0,12.0,10.0,8.0,1.0,10.0,10.0,5.0,6.0,2.0,12.0,7.2727272727272725
"Colás, Oscar",6.0,8.0,6.0,7.0,17.0,5.0,13.0,11.0,13.0,11.0,9.0,9.636363636363637
"Drury, Brandon",8.0,18.0,18.0,19.0,1.0,17.0,16.0,16.0,17.0,13.0,14.0,14.272727272727273
"Elko, Tim",15.0,4.0,3.0,3.0,17.0,3.0,2.0,3.0,1.0,18.0,10.0,7.181818181818182
"Fletcher, Dominic",17.0,15.0,15.0,11.0,1.0,15.0,21.0,14.0,20.0,12.0,19.0,14.545454545454545
"Jankowski, Travis",13.0,13.0,16.0,14.0,1.0,19.0,19.0,13.0,21.0,4.0,13.0,13.272727272727273
"Lee, Korey",11.0,22.0,21.0,21.0,1.0,21.0,20.0,20.0,18.0,20.0,20.0,17.727272727272727
"Meidroth, Chase",3.0,1.0,1.0,2.0,17.0,2.0,1.0,4.0,16.0,1.0,1.0,4.454545454545454
"Montgomery, Colson",2.0,7.0,6.0,15.0,17.0,9.0,8.0,16.0,10.0,17.0,5.0,10.181818181818182
"Quero, Edgar",20.0,2.0,2.0,1.0,17.0,1.0,4.0,2.0,7.0,3.0,6.0,5.909090909090909
"Ramos, Bryan",21.0,19.0,17.0,18.0,1.0,16.0,15.0,9.0,7.0,5.0,15.0,13.0
"Robert Jr., Luis",5.0,14.0,9.0,10.0,1.0,6.0,12.0,12.0,4.0,21.0,16.0,10.0
"Rojas, Josh",7.0,10.0,13.0,12.0,1.0,11.0,14.0,10.0,12.0,9.0,11.0,10.0
"Slater, Austin",16.0,6.0,11.0,13.0,1.0,12.0,7.0,8.0,9.0,16.0,7.0,9.636363636363637
"Sosa, Lenyn",10.0,17.0,14.0,9.0,1.0,14.0,9.0,1.0,3.0,8.0,22.0,9.818181818181818
"Tauchman, Mike",9.0,5.0,5.0,6.0,1.0,4.0,3.0,6.0,5.0,6.0,4.0,4.909090909090909
"Teel, Kyle",18.0,3.0,4.0,4.0,17.0,6.0,6.0,15.0,13.0,14.0,2.0,9.272727272727273
"Thaiss, Matt",14.0,9.0,12.0,17.0,1.0,13.0,11.0,19.0,11.0,19.0,3.0,11.727272727272727
"Vargas, Miguel",12.0,16.0,19.0,22.0,1.0,20.0,17.0,21.0,19.0,10.0,8.0,15.0
"Vaughn, Andrew",1.0,11.0,8.0,5.0,1.0,8.0,5.0,7.0,2.0,7.0,17.0,6.545454545454546
