"last_name, first_name","player_id","year","player_age","pa","k_percent","bb_percent","batting_avg","on_base_percent","on_base_plus_slg","b_gnd_into_dp","xba","woba","xwoba","avg_swing_speed","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","hp_to_1b","sprint_speed"
"Pages, Andy",681624,2024,23,443,24.4,6.5,".248",".305","0.712","8",".251",".310",".321","73.1","88.6",40.8,10.7,6.4,4.7,40.1,"100.310081745","94.262423423",26.1,51,"4.43","28.3"
"Bregman, Alex",608324,2024,30,634,13.6,6.9,".260",".315","0.768","13",".257",".331",".319","71.4","89.1",34.9,6.4,7.4,2.4,40.5,"98.986527952","93.684160984",12.8,44.9,"4.55","26.7"
"Canha, Mark",592192,2024,35,462,20.8,11,".242",".344","0.690","10",".212",".310",".288","68.4","88.4",31.5,3.3,5,3,37.4,"98.159166424","93.219326921",21.8,41.6,"4.37","27.8"
"Hoskins, Rhys",656555,2024,31,517,28.8,10.3,".214",".303","0.722","11",".202",".313",".301","71.2","88.7",29.7,12.7,6.2,3.9,42.2,"99.737434248","94.057895065",26.3,42.8,"4.77","25.3"
"Bethancourt, Christian",542194,2024,32,147,24.5,3.4,".209",".241","0.608","2",".218",".263",".267","71.9","89.1",25.7,7.6,4.8,8.6,41.9,"100.460386122","94.266459184",31.5,61.4,"4.56","27.5"
"Rice, Ben",700250,2024,25,178,27,11.2,".171",".264","0.613","2",".235",".269",".340","71.4","90",34.9,15.6,1.8,1.8,36.7,"99.671896909","94.277701284",25.8,46,"4.52","27.5"
"Reynolds, Bryan",668804,2024,29,692,22.5,8.2,".275",".344","0.791","7",".270",".343",".350","71.5","89.9",37.5,9.6,7.2,4.9,45.4,"100.987209316","94.867542484",29.4,50.4,"4.38","28.0"
"Sabol, Blake",666165,2024,26,38,23.7,13.2,".313",".421","0.796","0",".244",".352",".327","71.2","90.3",30.4,8.7,4.3,4.3,43.5,"100.935788333","95.14385",33.8,52.4,,"26.6"
"McCray, Grant",687529,2024,23,130,43.1,4.6,".202",".238","0.617","3",".192",".266",".252","72.7","90.2",30.9,11.8,7.4,7.4,44.1,"101.84831875","95.365513125",43.6,53,"4.25","29.2"
"Carlson, Dylan",666185,2024,25,265,28.3,8.3,".209",".287","0.564","2",".195",".257",".250","68.5","86.8",30.1,2.5,8,3.7,25.8,"96.530139877","92.297463602",31,48.2,"4.42","27.3"
